,t,mu,gamma,noise level,A,R,S,C
0,0.0,1.25,1.0,0.01,1.004293154609693,0.0,0.9984781537912115,0.0
1,0.1,1.25,1.0,0.01,1.0012815999845504,2.8460156454000263e-05,1.0096201778511467,0.061713885834737775
2,0.2,1.25,1.0,0.01,1.0046397772222504,5.322253255063223e-05,0.9945084559183865,0.0625640060696025
3,0.30000000000000004,1.25,1.0,0.01,0.9914355464431339,7.538622782445243e-05,0.9929388455892281,0.06210858994422306
4,0.4,1.25,1.0,0.01,0.9976264066618145,9.465241424189955e-05,0.9930429689751167,0.061801442378586584
5,0.5,1.25,1.0,0.01,1.0014295160737976,0.00011245861621009678,0.9999321842949647,0.061842546409477714
6,0.6000000000000001,1.25,1.0,0.01,1.0067053719460681,0.00012789509954630197,1.0044124803388177,0.06162666981717344
7,0.7000000000000001,1.25,1.0,0.01,0.9992908140429866,0.0001408665125968834,1.0039196988906824,0.0616203533869516
8,0.8,1.25,1.0,0.01,1.0006607377421277,0.00015361295640607418,1.0042193815703293,0.062187255180496975
9,0.9,1.25,1.0,0.01,1.0006051754227292,0.00016413598041126588,1.0007216739895228,0.0618588604293544
10,1.0,1.25,1.0,0.01,1.007286695825319,0.00017553649510711344,0.9958681732061757,0.06237099353231506
11,0.0,1.25,1.0,0.01,1.0063408548226191,0.0,0.9998989727143115,0.0
12,0.1,1.25,1.0,0.01,0.9998747056813427,2.8101014576520493e-05,0.9964510973131088,0.06222906574410677
13,0.2,1.25,1.0,0.01,0.9908708025816387,5.333305127160608e-05,1.0026429240268113,0.06158527808900044
14,0.30000000000000004,1.25,1.0,0.01,0.999581747619871,7.623455194824717e-05,1.009230678380447,0.062312676014797605
15,0.4,1.25,1.0,0.01,1.0084914741786402,9.61314310061846e-05,0.9968230596556502,0.06230639825901319
16,0.5,1.25,1.0,0.01,0.9918454775198587,0.00011192400344699031,0.9928034056351029,0.06191980347181853
17,0.6000000000000001,1.25,1.0,0.01,0.9995847917135624,0.00012727309446693025,0.994852792320617,0.0619499620422426
18,0.7000000000000001,1.25,1.0,0.01,0.9982883160383178,0.00014271196582209486,1.0064400666459221,0.06175480474818166
19,0.8,1.25,1.0,0.01,1.0094988342763054,0.00015374481745842374,0.9909150703118389,0.061687397761263245
20,0.9,1.25,1.0,0.01,0.9986467425961314,0.0001637362718458007,1.0064157130587696,0.06229960067601608
21,1.0,1.25,1.0,0.01,0.9976361910597094,0.00017536359931103647,0.9928472056492388,0.061919603827374256
22,0.0,1.25,1.0,0.01,0.9928357576899822,0.0,0.9926817618414514,0.0
23,0.1,1.25,1.0,0.01,1.0000317879282075,2.8548200476033718e-05,0.9936644173705906,0.06213006086374406
24,0.2,1.25,1.0,0.01,1.0032798731154076,5.3022760931900337e-05,0.994464297533099,0.062049197252963206
25,0.30000000000000004,1.25,1.0,0.01,0.9962437009815803,7.580876188185604e-05,0.9965790545105435,0.06278820996870728
26,0.4,1.25,1.0,0.01,0.9934725978402844,9.547627581540784e-05,0.9927722954221874,0.0622963579265888
27,0.5,1.25,1.0,0.01,1.0021850926878906,0.00011193288587941232,1.0086696302724283,0.06187482533694504
28,0.6000000000000001,1.25,1.0,0.01,1.0019061277504488,0.00012864981656379154,1.0025755380048569,0.06210409819968644
29,0.7000000000000001,1.25,1.0,0.01,1.0057060970960006,0.00014321011183500272,0.999120128755127,0.06193730397442506
30,0.8,1.25,1.0,0.01,1.00897446205918,0.00015314531689700523,0.9900795784510799,0.06219615451692541
31,0.9,1.25,1.0,0.01,1.0096967396068979,0.0001660567477236748,0.9968230531100674,0.06215584397217358
32,1.0,1.25,1.0,0.01,1.0092488640247506,0.0001736193887384665,0.9943571838059518,0.06276839960747423
33,0.0,1.25,1.0,0.01,0.9922358801530332,0.0,1.007315553047912,0.0
34,0.1,1.25,1.0,0.01,0.9939489259614488,2.848923528382494e-05,1.0085864268564655,0.06233672774106575
35,0.2,1.25,1.0,0.01,0.999676259708438,5.340617164085245e-05,0.9912833617055773,0.06196004036206543
36,0.30000000000000004,1.25,1.0,0.01,1.001386097019641,7.586920864674859e-05,1.0083149654645596,0.06242717266067941
37,0.4,1.25,1.0,0.01,0.9945024217242664,9.50731201626567e-05,0.9970659563760759,0.06178856951453706
38,0.5,1.25,1.0,0.01,0.9901277229404839,0.00011332476669516261,0.9917894559255608,0.0626472070338231
39,0.6000000000000001,1.25,1.0,0.01,0.9900505681515469,0.00012792474929996096,1.0056130837879385,0.062456372573156435
40,0.7000000000000001,1.25,1.0,0.01,1.0035654727314116,0.00014174029726931703,1.001881006338881,0.0619644255253757
